City_ID,Cloudiness_Percentage,Wind_Direction_Degree,Gust_Speed,Wind_Speed
98182,17,0,,1.03
108410,1,300,3.15,2.67
112931,20,220,,2.06
184745,100,200,,2.57
264371,20,340,,4.12
292223,0,70,,2.57
293397,40,150,,3.09
360630,0,360,,2.06
524901,36,281,3.53,2.27
658225,20,190,4.02,3.13
745044,0,30,,4.63
756135,75,240,,3.6
1275339,75,310,,3.6
1581130,100,340,5.84,4.21
1609350,100,276,7.13,3.45
1642911,40,240,,1.54
1668341,40,90,,7.72
1701668,100,212,5.81,2.68
1735161,20,170,,3.09
1816670,0,201,7.09,5.44
1835848,0,270,,5.14
1850147,75,60,,2.57
1880252,75,170,,4.63
2063523,20,350,,2.57
2147714,0,260,,6.17
2193733,40,310,,7.72
2332459,20,230,,2.06
2553604,11,353,2.03,1.33
2618425,75,290,,4.63
2643743,54,94,3.13,1.34
2657896,78,0,,0.51
2673730,100,160,,1.54
2759794,20,146,1.34,0.89
2761369,0,270,,3.09
2800866,0,80,,1.54
2950159,75,273,15.65,8.49
2964574,20,80,,2.57
2988507,40,340,,1.54
3054643,35,311,3.13,1.79
3067696,20,290,,5.14
3117735,0,27,6.71,3.58
3143244,6,316,2.7,1.37
3169070,0,40,,1.54
3369157,56,197,7.15,3.13
3413829,0,70,,3.6
3435910,0,120,0.0,4.92
3448433,0,149,8.38,3.24
3530597,75,250,,6.17
3871336,5,97,1.15,0.8
3936456,100,150,,4.12
4887398,1,270,0.89,0.89
5128581,0,190,,2.06
5368361,100,230,,5.14
5856195,40,60,12.35,7.2
6167865,20,240,0.0,5.81
6173331,77,249,10.28,5.81
